model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7965181126036565,0.6611529803269062,0.5780915703893881,0.6168386448726144,0.8482031013695621
XGBoost,0.8009553367925901,0.7012971971276349,0.5181857081728712,0.5959938973374674,0.8655320849777304
